Variable,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Mongar,Paro,Pemagatshel,Punakha,Samdrup Jongkhar,Samtse,Sarpang,Tashi Yangtse,Tashigang,Thimphu,Trongsa,Tsirang,Wangdue Phodrang,Zhemgang
mean temperature - ssp2 - 2081-2100 - mar - may,6.17,17.66,19.03,1.89,10.02,10.02,18.59,8.62,22.64,14.26,20.83,21.53,22.08,11.16,13.86,6.1,13.36,20.75,10.28,20.47
mean temperature - ssp3 - 2021-2040 - mar - may,4.46,15.89,17.29,0.19,8.34,8.24,16.9,7,20.92,12.66,19.1,19.74,20.34,9.39,12.17,4.47,11.71,19.02,8.63,18.76
mean temperature - ssp3 - 2041-2060 - mar - may,5.41,16.72,18.13,1.19,9.21,9.23,17.77,7.9,21.75,13.57,19.93,20.57,21.18,10.36,13.04,5.39,12.6,19.87,9.54,19.6
mean temperature - ssp3 - 2061-2080 - mar - may,6.42,17.72,19.12,2.22,10.21,10.27,18.77,8.88,22.75,14.55,20.94,21.58,22.17,11.39,14.05,6.38,13.58,20.85,10.52,20.59
mean temperature - ssp3 - 2081-2100 - mar - may,7.61,18.8,20.19,3.52,11.33,11.47,19.82,10.04,23.73,15.77,21.89,22.68,23.21,12.54,15.06,7.57,14.7,21.92,11.7,21.62
mean temperature - ssp5 - 2021-2040 - mar - may,4.43,15.86,17.26,0.17,8.31,8.23,16.87,6.96,20.89,12.62,19.07,19.71,20.31,9.37,12.13,4.44,11.68,18.99,8.6,18.73
mean temperature - ssp5 - 2041-2060 - mar - may,5.56,16.99,18.38,1.34,9.41,9.38,17.97,8.05,22,13.7,20.18,20.84,21.43,10.52,13.24,5.54,12.76,20.11,9.68,19.84
mean temperature - ssp5 - 2061-2080 - mar - may,7.05,18.4,19.78,2.88,10.83,10.89,19.37,9.48,23.36,15.16,21.54,22.27,22.81,12,14.63,6.99,14.18,21.5,11.14,21.22
mean temperature - ssp5 - 2081-2100 - mar - may,8.77,20.02,21.39,4.72,12.51,12.63,20.97,11.19,24.92,16.91,23.08,23.91,24.41,13.69,16.21,8.73,15.84,23.11,12.84,22.8
mean temperature - historical - oct - nov,2.45,14.41,15.54,-1.99,6.65,6.28,14.88,4.87,19.17,10.62,17.53,18.1,18.54,7.72,10.58,2.3,9.72,17.11,6.67,16.84
mean temperature - ssp1 - 2021-2040 - oct - nov,3.99,15.75,16.9,-0.34,8.07,7.83,16.25,6.36,20.47,12.17,18.83,19.44,19.86,9.23,11.93,3.83,11.17,18.46,8.17,18.17
mean temperature - ssp1 - 2041-2060 - oct - nov,4.55,16.31,17.46,0.23,8.58,8.4,16.81,6.89,21.03,12.71,19.4,19.98,20.43,9.8,12.5,4.37,11.71,19.02,8.72,18.73
mean temperature - ssp1 - 2061-2080 - oct - nov,4.58,16.39,17.53,0.29,8.65,8.43,16.84,6.93,21.08,12.74,19.44,20.07,20.49,9.82,12.52,4.41,11.74,19.08,8.75,18.78
mean temperature - ssp1 - 2081-2100 - oct - nov,4.53,16.3,17.44,0.2,8.58,8.39,16.78,6.86,21,12.67,19.36,19.99,20.4,9.79,12.47,4.34,11.68,18.99,8.68,18.7
mean temperature - ssp2 - 2021-2040 - oct - nov,3.91,15.71,16.85,-0.46,7.99,7.75,16.2,6.27,20.43,12.07,18.79,19.39,19.83,9.16,11.89,3.73,11.1,18.41,8.09,18.13
mean temperature - ssp2 - 2041-2060 - oct - nov,4.84,16.55,17.7,0.56,8.86,8.68,17.04,7.17,21.25,13.01,19.61,20.23,20.66,10.05,12.71,4.66,11.98,19.26,9,18.96
mean temperature - ssp2 - 2061-2080 - oct - nov,5.27,17.02,18.18,0.97,9.26,9.13,17.51,7.56,21.76,13.4,20.13,20.68,21.16,10.52,13.2,5.05,12.41,19.74,9.42,19.45
mean temperature - ssp2 - 2081-2100 - oct - nov,5.87,17.57,18.72,1.6,9.82,9.74,18.07,8.13,22.31,13.98,20.66,21.24,21.71,11.11,13.75,5.63,12.98,20.29,9.99,20
mean temperature - ssp3 - 2021-2040 - oct - nov,4.18,15.91,17.06,-0.14,8.22,8.02,16.41,6.53,20.61,12.35,18.96,19.58,20.02,9.41,12.09,4.01,11.34,18.62,8.35,18.33
mean temperature - ssp3 - 2041-2060 - oct - nov,5.04,16.77,17.91,0.8,9.08,8.89,17.24,7.39,21.47,13.23,19.83,20.45,20.87,10.27,12.93,4.88,12.18,19.47,9.21,19.17
mean temperature - ssp3 - 2061-2080 - oct - nov,6.08,17.77,18.92,1.85,10.06,9.95,18.26,8.38,22.48,14.24,20.85,21.44,21.89,11.32,13.94,5.88,13.19,20.48,10.23,20.19
mean temperature - ssp3 - 2081-2100 - oct - nov,7.52,19.11,20.25,3.39,11.47,11.4,19.59,9.83,23.78,15.7,22.14,22.8,23.2,12.74,15.27,7.35,14.57,21.81,11.65,21.5
mean temperature - ssp5 - 2021-2040 - oct - nov,4.12,15.86,17.02,-0.21,8.16,7.97,16.38,6.46,20.59,12.29,18.95,19.53,19.99,9.37,12.06,3.94,11.29,18.58,8.3,18.3
mean temperature - ssp5 - 2041-2060 - oct - nov,5.44,17.15,18.3,1.2,9.45,9.29,17.63,7.77,21.84,13.63,20.2,20.82,21.25,10.66,13.31,5.27,12.57,19.86,9.61,19.54
mean temperature - ssp5 - 2061-2080 - oct - nov,6.97,18.6,19.76,2.8,10.9,10.83,19.09,9.25,23.3,15.13,21.66,22.27,22.71,12.18,14.78,6.77,14.05,21.32,11.11,21.01
mean temperature - ssp5 - 2081-2100 - oct - nov,8.9,20.36,21.51,4.84,12.76,12.77,20.89,11.15,25.02,17.07,23.38,24.05,24.45,14.08,16.56,8.71,15.9,23.07,13,22.76
mean temperature - historical - dec - feb,-3.4,9.03,10.25,-8.18,1.06,0.51,9.53,-0.76,13.84,5.19,12.18,12.87,13.51,2.03,5.08,-3.51,4.31,11.91,1,11.63
mean temperature - ssp1 - 2021-2040 - dec - feb,-1.81,10.42,11.66,-6.5,2.53,2.15,10.98,0.77,15.25,6.76,13.61,14.26,14.89,3.65,6.56,-1.95,5.78,13.3,2.52,13.04
mean temperature - ssp1 - 2041-2060 - dec - feb,-1.46,10.79,12.02,-6.16,2.87,2.51,11.36,1.11,15.64,7.08,14.02,14.63,15.26,4.03,6.95,-1.61,6.12,13.66,2.86,13.41
mean temperature - ssp1 - 2061-2080 - dec - feb,-1.26,10.99,12.21,-5.95,3.06,2.7,11.53,1.3,15.81,7.29,14.19,14.83,15.45,4.21,7.12,-1.41,6.32,13.85,3.06,13.59
mean temperature - ssp1 - 2081-2100 - dec - feb,-1.43,10.88,12.1,-6.16,2.92,2.55,11.41,1.14,15.73,7.08,14.1,14.72,15.35,4.06,7,-1.59,6.17,13.73,2.88,13.49
mean temperature - ssp2 - 2021-2040 - dec - feb,-1.89,10.32,11.56,-6.54,2.45,2.06,10.9,0.71,15.16,6.7,13.53,14.17,14.79,3.57,6.49,-2,5.71,13.2,2.46,12.94
mean temperature - ssp2 - 2041-2060 - dec - feb,-0.45,11.64,12.87,-5.06,3.76,3.55,12.23,2.04,16.48,8.06,14.86,15.48,16.11,5.02,7.82,-0.65,7.04,14.51,3.81,14.26
mean temperature - ssp2 - 2061-2080 - dec - feb,12.56,21.93,23.12,8.9,15.63,15.86,23.05,14.5,26.49,19.67,24.78,24.98,25.62,16.89,18.89,12.3,18.56,24.52,16.04,24.47
mean temperature - ssp2 - 2081-2100 - dec - feb,-1.03,11.08,12.31,-5.69,3.21,2.94,11.68,1.49,15.91,7.51,14.28,14.92,15.54,4.42,7.26,-1.21,6.51,13.96,3.26,13.7
mean temperature - ssp3 - 2021-2040 - dec - feb,-1.84,10.32,11.55,-6.54,2.46,2.13,10.93,0.72,15.16,6.71,13.54,14.17,14.78,3.64,6.52,-1.99,5.73,13.19,2.47,12.95
mean temperature - ssp3 - 2041-2060 - dec - feb,-0.85,11.19,12.43,-5.46,3.38,3.15,11.85,1.67,16.05,7.7,14.44,15.04,15.66,4.64,7.45,-1.01,6.66,14.07,3.43,13.83
mean temperature - ssp3 - 2061-2080 - dec - feb,0.38,12.29,13.53,-4.1,4.51,4.41,12.96,2.85,17.14,8.92,15.53,16.14,16.75,5.86,8.56,0.2,7.8,15.17,4.62,14.93
mean temperature - ssp3 - 2081-2100 - dec - feb,1.73,13.56,14.79,-2.68,5.8,5.76,14.22,4.17,18.39,10.27,16.77,17.42,18,7.18,9.81,1.54,9.09,16.43,5.94,16.18
mean temperature - ssp5 - 2021-2040 - dec - feb,-1.64,10.46,11.69,-6.32,2.61,2.34,11.09,0.88,15.3,6.9,13.67,14.3,14.93,3.84,6.68,-1.81,5.91,13.34,2.66,13.1
mean temperature - ssp5 - 2041-2060 - dec - feb,-0.45,11.62,12.85,-5.08,3.77,3.55,12.25,2.06,16.46,8.09,14.84,15.46,16.08,5.04,7.85,-0.63,7.06,14.49,3.83,14.25
mean temperature - ssp5 - 2061-2080 - dec - feb,1.04,13.03,14.26,-3.49,5.18,5.07,13.67,3.49,17.88,9.56,16.28,16.88,17.49,6.54,9.28,0.84,8.48,15.9,5.27,15.66
mean temperature - ssp5 - 2081-2100 - dec - feb,2.9,14.8,16.03,-1.5,6.94,6.94,15.43,5.29,19.67,11.4,18.07,18.64,19.27,8.38,11.06,2.67,10.26,17.66,7.09,17.43
maximum temperature - historical - annual,8.92,19.02,20.36,4.8,12.54,12.38,20.03,11.49,23.9,17.09,22.12,22.38,23.01,13.57,15.91,9.05,15.3,21.77,12.73,21.59
maximum temperature - ssp1 - 2021-2040 - annual,10.28,20.13,21.48,6.28,13.75,13.74,21.24,12.77,25.03,18.45,23.25,23.48,24.14,14.88,17.1,10.37,16.57,22.91,14.04,22.75
maximum temperature - ssp1 - 2041-2060 - annual,10.69,20.54,21.89,6.67,14.14,14.16,21.65,13.16,25.44,18.84,23.66,23.89,24.55,15.3,17.51,10.76,16.98,23.33,14.44,23.16
maximum temperature - ssp1 - 2061-2080 - annual,10.87,20.77,22.13,6.83,14.35,14.34,21.85,13.34,25.66,19.02,23.88,24.13,24.79,15.48,17.71,10.94,17.18,23.56,14.64,23.38
maximum temperature - ssp1 - 2081-2100 - annual,10.88,20.73,22.08,6.86,14.32,14.34,21.82,13.34,25.6,19.04,23.81,24.09,24.73,15.47,17.67,10.95,17.17,23.51,14.64,23.33
maximum temperature - ssp2 - 2021-2040 - annual,10.21,19.98,21.35,6.22,13.64,13.67,21.13,12.68,24.89,18.38,23.11,23.34,24.01,14.8,16.99,10.29,16.49,22.79,13.96,22.63
maximum temperature - ssp2 - 2041-2060 - annual,10.98,20.72,22.08,7,14.36,14.45,21.86,13.41,25.6,19.13,23.81,24.07,24.73,15.56,17.7,11.03,17.23,23.52,14.72,23.35
maximum temperature - ssp2 - 2061-2080 - annual,11.5,21.28,22.64,7.51,14.91,14.97,22.41,13.95,26.18,19.66,24.4,24.63,25.3,16.09,18.26,11.56,17.77,24.08,15.24,23.91
maximum temperature - ssp2 - 2081-2100 - annual,12.06,21.8,23.15,8.12,15.46,15.53,22.91,14.51,26.66,20.23,24.87,25.16,25.8,16.64,18.76,12.14,18.3,24.59,15.8,24.41
maximum temperature - ssp3 - 2021-2040 - annual,10.22,19.98,21.34,6.22,13.63,13.69,21.15,12.68,24.9,18.38,23.13,23.32,24.01,14.82,17.01,10.29,16.49,22.79,13.96,22.63
maximum temperature - ssp3 - 2041-2060 - annual,11.15,20.79,22.16,7.19,14.48,14.63,22.01,13.56,25.72,19.3,23.95,24.13,24.83,15.74,17.87,11.19,17.38,23.61,14.87,23.47
maximum temperature - ssp3 - 2061-2080 - annual,12.16,21.75,23.12,8.23,15.47,15.64,22.97,14.56,26.67,20.3,24.89,25.1,25.78,16.74,18.82,12.2,18.36,24.57,15.86,24.42
maximum temperature - ssp3 - 2081-2100 - annual,13.35,22.84,24.21,9.53,16.63,16.84,24.05,15.77,27.7,21.53,25.92,26.21,26.84,17.9,19.89,13.43,19.5,25.65,17.05,25.48
maximum temperature - ssp5 - 2021-2040 - annual,10.29,20.03,21.39,6.29,13.69,13.76,21.2,12.73,24.95,18.43,23.18,23.39,24.06,14.89,17.06,10.34,16.55,22.84,14.02,22.69
maximum temperature - ssp5 - 2041-2060 - annual,11.5,21.15,22.52,7.56,14.81,14.97,22.33,13.87,26.07,19.62,24.29,24.5,25.19,16.07,18.18,11.51,17.71,23.97,15.2,23.81
maximum temperature - ssp5 - 2061-2080 - annual,12.92,22.49,23.85,9.07,16.2,16.4,23.66,15.29,27.37,21.06,25.59,25.86,26.51,17.47,19.5,12.95,19.08,25.3,16.6,25.13
maximum temperature - ssp5 - 2081-2100 - annual,14.54,24.05,25.39,10.79,17.82,18.04,25.2,16.94,28.87,22.72,27.07,27.43,28.02,19.07,21.03,14.62,20.65,26.83,18.22,26.65
maximum temperature - historical - jun - sep,13.7,22.73,23.95,9.94,16.68,17.11,24.16,15.8,27.53,21.56,25.76,25.62,26.23,18.22,20.11,13.48,19.6,25.24,17.21,25.28
maximum temperature - ssp1 - 2021-2040 - jun - sep,14.95,23.7,24.94,11.29,17.73,18.36,25.26,16.95,28.55,22.81,26.79,26.57,27.23,19.43,21.21,14.68,20.77,26.25,18.41,26.32
maximum temperature - ssp1 - 2041-2060 - jun - sep,15.38,24.12,25.35,11.71,18.14,18.79,25.67,17.35,28.95,23.23,27.19,27,27.64,19.85,21.61,15.09,21.18,26.67,18.83,26.73
maximum temperature - ssp1 - 2061-2080 - jun - sep,15.57,24.36,25.59,11.9,18.37,18.98,25.87,17.56,29.15,23.42,27.38,27.25,27.86,20.04,21.81,15.29,21.39,26.9,19.03,26.94
maximum temperature - ssp1 - 2081-2100 - jun - sep,15.64,24.37,25.6,11.99,18.4,19.04,25.9,17.62,29.16,23.51,27.38,27.25,27.87,20.08,21.82,15.36,21.45,26.91,19.11,26.96
maximum temperature - ssp2 - 2021-2040 - jun - sep,14.96,23.69,24.93,11.29,17.73,18.37,25.26,16.95,28.53,22.82,26.77,26.56,27.22,19.43,21.2,14.69,20.78,26.25,18.42,26.32
maximum temperature - ssp2 - 2041-2060 - jun - sep,15.66,24.34,25.59,12,18.38,19.06,25.91,17.61,29.16,23.52,27.39,27.21,27.87,20.1,21.83,15.36,21.46,26.91,19.11,26.96
maximum temperature - ssp2 - 2061-2080 - jun - sep,16.16,24.84,26.08,12.5,18.87,19.57,26.43,18.09,29.69,24,27.93,27.71,28.37,20.63,22.37,15.84,21.95,27.4,19.6,27.48
maximum temperature - ssp2 - 2081-2100 - jun - sep,16.57,25.2,26.44,12.95,19.28,19.96,26.78,18.53,30.01,24.45,28.24,28.07,28.72,21,22.71,16.29,22.35,27.76,20.02,27.82
maximum temperature - ssp3 - 2021-2040 - jun - sep,14.87,23.59,24.84,11.18,17.62,18.29,25.19,16.85,28.47,22.72,26.72,26.45,27.14,19.37,21.15,14.58,20.69,26.16,18.32,26.24
maximum temperature - ssp3 - 2041-2060 - jun - sep,15.76,24.38,25.63,12.08,18.42,19.18,26.03,17.67,29.28,23.6,27.53,27.23,27.94,20.24,21.99,15.42,21.55,26.97,19.2,27.06
maximum temperature - ssp3 - 2061-2080 - jun - sep,16.7,25.25,26.51,13.08,19.34,20.13,26.9,18.6,30.12,24.53,28.36,28.12,28.79,21.16,22.84,16.36,22.45,27.83,20.12,27.92
maximum temperature - ssp3 - 2081-2100 - jun - sep,17.74,26.17,27.41,14.21,20.37,21.16,27.84,19.68,31,25.62,29.24,29.07,29.68,22.17,23.77,17.46,23.43,28.74,21.14,28.82
maximum temperature - ssp5 - 2021-2040 - jun - sep,14.92,23.65,24.89,11.22,17.68,18.36,25.26,16.88,28.55,22.74,26.8,26.52,27.2,19.44,21.22,14.61,20.73,26.21,18.36,26.31
maximum temperature - ssp5 - 2041-2060 - jun - sep,16.05,24.64,25.9,12.42,18.69,19.48,26.28,17.94,29.52,23.87,27.77,27.51,28.19,20.52,22.23,15.7,21.81,27.22,19.47,27.31
maximum temperature - ssp5 - 2061-2080 - jun - sep,17.4,25.88,27.13,13.85,20.02,20.82,27.53,19.3,30.73,25.24,28.96,28.77,29.41,21.83,23.46,17.08,23.1,28.45,20.8,28.54
maximum temperature - ssp5 - 2081-2100 - jun - sep,18.81,27.23,28.46,15.34,21.44,22.25,28.88,20.75,32.04,26.68,30.27,30.14,30.72,23.23,24.81,18.53,24.48,29.78,22.2,29.86
maximum temperature - historical - mar - may,8.52,19.32,20.81,4.36,12.51,12.2,20.4,11.54,24.41,17.39,22.51,22.99,23.58,13.32,15.94,8.98,15.4,22.42,12.68,22.1
maximum temperature - ssp1 - 2021-2040 - mar - may,9.72,20.28,21.77,5.75,13.59,13.41,21.4,12.71,25.34,18.62,23.41,23.97,24.52,14.46,16.92,10.19,16.49,23.38,13.84,23.06
maximum temperature - ssp1 - 2041-2060 - mar - may,10.29,20.59,21.85,6.16,14.01,13.81,21.54,12.74,25.68,18.23,23.92,24.1,24.67,15.09,17.54,10.38,16.59,23.29,14.04,23.17
maximum temperature - ssp1 - 2061-2080 - mar - may,10.37,21.03,22.53,6.31,14.27,14.04,22.11,13.34,26.09,19.23,24.16,24.71,25.3,15.11,17.62,10.81,17.19,24.15,14.5,23.82
maximum temperature - ssp1 - 2081-2100 - mar - may,10.41,21.04,22.53,6.39,14.3,14.08,22.08,13.39,26.05,19.29,24.11,24.72,25.28,15.13,17.59,10.86,17.19,24.13,14.53,23.78
maximum temperature - ssp2 - 2021-2040 - mar - may,9.67,20.06,21.57,5.75,13.45,13.35,21.27,12.62,25.15,18.57,23.22,23.72,24.34,14.38,16.78,10.13,16.4,23.2,13.76,22.9
maximum temperature - ssp2 - 2041-2060 - mar - may,10.42,20.81,22.32,6.49,14.18,14.12,21.97,13.34,25.84,19.3,23.89,24.5,25.06,15.13,17.46,10.85,17.13,23.94,14.5,23.61
maximum temperature - ssp2 - 2061-2080 - mar - may,10.88,21.37,22.87,6.94,14.71,14.57,22.49,13.84,26.41,19.76,24.46,25.06,25.63,15.59,17.97,11.34,17.62,24.49,14.98,24.16
maximum temperature - ssp2 - 2081-2100 - mar - may,11.32,21.78,23.26,7.39,15.13,15.03,22.88,14.27,26.78,20.19,24.84,25.49,26,16.05,18.37,11.76,18.01,24.87,15.39,24.53
maximum temperature - ssp3 - 2021-2040 - mar - may,9.66,20.05,21.57,5.69,13.45,13.34,21.28,12.61,25.16,18.55,23.23,23.72,24.34,14.37,16.78,10.11,16.41,23.2,13.75,22.91
maximum temperature - ssp3 - 2041-2060 - mar - may,10.57,20.82,22.33,6.66,14.26,14.27,22.08,13.46,25.89,19.44,23.96,24.49,25.1,15.28,17.57,10.98,17.24,23.97,14.62,23.67
maximum temperature - ssp3 - 2061-2080 - mar - may,13.91,23.41,24.78,10.29,17.12,17.54,24.84,16.43,28.41,22.41,26.51,26.8,27.26,18.54,20.54,14.08,20.1,26.3,17.7,26.12
maximum temperature - ssp3 - 2081-2100 - mar - may,12.65,22.79,24.29,8.92,16.32,16.37,23.99,15.57,27.75,21.58,25.79,26.51,27.01,17.33,19.46,13.13,19.24,25.91,16.7,25.56
maximum temperature - ssp5 - 2021-2040 - mar - may,9.63,20.01,21.52,5.7,13.4,13.32,21.21,12.56,25.09,18.51,23.16,23.69,24.29,14.34,16.71,10.07,16.35,23.15,13.71,22.85
maximum temperature - ssp5 - 2041-2060 - mar - may,10.8,21.1,22.61,6.96,14.47,14.51,22.29,13.65,26.18,19.64,24.24,24.78,25.38,15.5,17.79,11.19,17.44,24.24,14.83,23.93
maximum temperature - ssp5 - 2061-2080 - mar - may,12.31,22.55,24.04,8.56,15.97,16.02,23.68,15.18,27.53,21.18,25.58,26.25,26.77,16.97,19.16,12.73,18.9,25.65,16.34,25.31
maximum temperature - ssp5 - 2081-2100 - mar - may,13.94,24.1,25.58,10.31,17.59,17.67,25.2,16.83,29,22.85,27.02,27.83,28.28,18.58,20.65,14.4,20.47,27.18,17.96,26.81
maximum temperature - historical - oct - nov,8.34,18.92,20.15,4.14,12.26,11.85,19.73,10.92,23.95,16.33,22.18,22.44,22.95,13.16,15.74,8.52,14.75,21.57,12.17,21.42
maximum temperature - ssp1 - 2021-2040 - oct - nov,9.94,20.22,21.47,5.85,13.68,13.45,21.17,12.42,25.3,17.92,23.53,23.72,24.28,14.72,17.17,10.06,16.24,22.91,13.7,22.79
maximum temperature - ssp1 - 2041-2060 - oct - nov,10.29,20.59,21.85,6.16,14.01,13.81,21.54,12.74,25.68,18.23,23.92,24.1,24.67,15.09,17.54,10.38,16.59,23.29,14.04,23.17
maximum temperature - ssp1 - 2061-2080 - oct - nov,10.4,20.77,22.01,6.26,14.15,13.91,21.65,12.86,25.81,18.35,24.02,24.28,24.83,15.18,17.64,10.5,16.73,23.46,14.17,23.31
maximum temperature - ssp1 - 2081-2100 - oct - nov,10.4,20.63,21.89,6.27,14.06,13.93,21.61,12.81,25.72,18.34,23.94,24.14,24.71,15.2,17.6,10.46,16.68,23.34,14.13,23.22
maximum temperature - ssp2 - 2021-2040 - oct - nov,9.68,20.04,21.29,5.52,13.45,13.19,20.96,12.17,25.12,17.65,23.34,23.54,24.11,14.48,16.97,9.8,16.02,22.74,13.46,22.61
maximum temperature - ssp2 - 2041-2060 - oct - nov,10.56,20.78,22.04,6.48,14.22,14.08,21.76,12.98,25.89,18.51,24.12,24.28,24.87,15.35,17.76,10.64,16.84,23.5,14.3,23.38
maximum temperature - ssp2 - 2061-2080 - oct - nov,11.08,21.41,22.67,6.92,14.78,14.6,22.33,13.51,26.5,19.01,24.73,24.89,25.5,15.88,18.34,11.15,17.4,24.12,14.83,23.99
maximum temperature - ssp2 - 2081-2100 - oct - nov,11.5,21.74,22.99,7.42,15.17,15.03,22.7,13.92,26.82,19.45,25.05,25.23,25.82,16.29,18.69,11.58,17.77,24.44,15.24,24.32
maximum temperature - ssp3 - 2021-2040 - oct - nov,9.93,20.26,21.52,5.79,13.7,13.43,21.17,12.42,25.29,17.91,23.51,23.77,24.32,14.71,17.16,10.06,16.26,22.96,13.71,22.8
maximum temperature - ssp3 - 2041-2060 - oct - nov,10.75,21.03,22.28,6.66,14.47,14.27,21.98,13.21,26.11,18.72,24.35,24.53,25.11,15.55,17.99,10.86,17.06,23.74,14.51,23.61
maximum temperature - ssp3 - 2061-2080 - oct - nov,11.77,22,23.27,7.68,15.42,15.3,22.97,14.18,27.1,19.72,25.33,25.49,26.1,16.57,18.97,11.85,18.05,24.73,15.51,24.6
maximum temperature - ssp3 - 2081-2100 - oct - nov,13.15,23.24,24.51,9.15,16.73,16.7,24.24,15.53,28.32,21.1,26.55,26.73,27.33,17.94,20.25,13.23,19.36,25.97,16.86,25.84
maximum temperature - ssp5 - 2021-2040 - oct - nov,9.95,20.26,21.51,5.82,13.68,13.47,21.19,12.4,25.33,17.89,23.55,23.76,24.33,14.74,17.19,10.04,16.26,22.96,13.7,22.83
maximum temperature - ssp5 - 2041-2060 - oct - nov,11.24,21.44,22.7,7.18,14.86,14.77,22.39,13.61,26.52,19.16,24.74,24.94,25.52,16.02,18.39,11.29,17.49,24.15,14.95,24.02
maximum temperature - ssp5 - 2061-2080 - oct - nov,12.68,22.77,24.04,8.69,16.21,16.23,23.76,15,27.87,20.59,26.1,26.26,26.87,17.45,19.76,12.7,18.87,25.5,16.36,25.37
maximum temperature - ssp5 - 2081-2100 - oct - nov,14.46,24.4,25.66,10.6,17.94,18.02,25.39,16.79,29.42,22.42,27.63,27.91,28.45,19.19,21.36,14.52,20.57,27.11,18.13,26.96
maximum temperature - historical - dec - feb,3.33,13.83,15.25,-1.15,7.24,6.61,14.37,6.06,18.51,11.33,16.86,17.39,18.18,7.87,10.4,3.55,9.83,16.64,7.17,16.27
maximum temperature - ssp1 - 2021-2040 - dec - feb,4.94,15.23,16.66,0.52,8.73,8.23,15.85,7.59,19.92,12.93,18.26,18.79,19.6,9.45,11.86,5.12,11.37,18.07,8.74,17.72
maximum temperature - ssp1 - 2041-2060 - dec - feb,5.24,15.55,16.98,0.81,9.02,8.53,16.16,7.87,20.24,13.2,18.59,19.11,19.93,9.75,12.18,5.4,11.67,18.39,9.03,18.04
maximum temperature - ssp1 - 2061-2080 - dec - feb,5.44,15.74,17.18,0.97,9.2,8.72,16.37,8.04,20.46,13.39,18.82,19.3,20.14,9.95,12.4,5.57,11.88,18.59,9.23,18.25
maximum temperature - ssp1 - 2081-2100 - dec - feb,5.32,15.64,17.07,0.88,9.1,8.6,16.24,7.96,20.33,13.29,18.67,19.2,20.02,9.83,12.25,5.48,11.76,18.47,9.12,18.12
maximum temperature - ssp2 - 2021-2040 - dec - feb,4.76,14.94,16.38,0.39,8.5,8.04,15.61,7.4,19.62,12.75,17.95,18.51,19.32,9.25,11.6,4.93,11.16,17.8,8.54,17.44
maximum temperature - ssp2 - 2041-2060 - dec - feb,5.58,15.75,17.19,1.19,9.28,8.87,16.4,8.17,20.42,13.54,18.75,19.31,20.12,10.07,12.4,5.72,11.96,18.6,9.35,18.24
maximum temperature - ssp2 - 2061-2080 - dec - feb,6.21,16.35,17.8,1.85,9.91,9.49,17.01,8.81,21.05,14.19,19.4,19.91,20.74,10.68,13.02,6.37,12.59,19.21,9.98,18.86
maximum temperature - ssp2 - 2081-2100 - dec - feb,6.5,16.7,18.14,2.15,10.23,9.78,17.32,9.13,21.36,14.49,19.7,20.26,21.08,10.98,13.32,6.68,12.89,19.55,10.28,19.19
maximum temperature - ssp3 - 2021-2040 - dec - feb,4.73,14.9,16.35,0.32,8.45,8.03,15.6,7.34,19.63,12.71,17.99,18.46,19.3,9.26,11.63,4.89,11.14,17.77,8.51,17.43
maximum temperature - ssp3 - 2041-2060 - dec - feb,5.73,15.78,17.24,1.38,9.38,9.03,16.53,8.31,20.52,13.7,18.89,19.33,20.19,10.24,12.56,5.87,12.09,18.66,9.48,18.34
maximum temperature - ssp3 - 2061-2080 - dec - feb,6.97,16.92,18.38,2.7,10.58,10.27,17.68,9.55,21.63,14.96,19.98,20.48,21.32,11.44,13.68,7.13,13.29,19.8,10.71,19.47
maximum temperature - ssp3 - 2081-2100 - dec - feb,8.28,18.2,19.65,4.05,11.88,11.59,18.94,10.85,22.89,16.27,21.24,21.77,22.58,12.74,14.95,8.44,14.57,21.07,12.01,20.73
maximum temperature - ssp5 - 2021-2040 - dec - feb,4.98,15.09,16.53,0.62,8.68,8.28,15.78,7.58,19.78,12.95,18.12,18.66,19.47,9.48,11.79,5.13,11.35,17.95,8.74,17.6
maximum temperature - ssp5 - 2041-2060 - dec - feb,6.29,16.35,17.81,1.96,9.92,9.57,17.05,8.84,21.06,14.25,19.4,19.91,20.76,10.75,13.04,6.41,12.64,19.23,10.04,18.89
maximum temperature - ssp5 - 2061-2080 - dec - feb,7.72,17.73,19.18,3.48,11.33,11,18.41,10.27,22.42,15.69,20.76,21.3,22.12,12.15,14.4,7.86,14.03,20.6,11.45,20.25
maximum temperature - ssp5 - 2081-2100 - dec - feb,9.51,19.52,20.95,5.34,13.14,12.81,20.15,12.1,24.16,17.5,22.48,23.1,23.87,13.94,16.13,9.68,15.78,22.35,13.23,21.99
minimum temperature - historical - annual,-1.84,10.56,11.71,-6.38,2.32,2.03,11.11,0.34,15.26,5.81,13.61,14.29,14.89,3.42,6.45,-2.24,5.82,13.43,2.42,13.21
minimum temperature - ssp1 - 2021-2040 - annual,-0.29,11.91,13.05,-4.66,3.78,3.6,12.48,1.87,16.56,7.39,14.92,15.66,16.21,4.94,7.81,-0.67,7.26,14.76,3.93,14.53
minimum temperature - ssp1 - 2041-2060 - annual,0.16,12.37,13.5,-4.19,4.23,4.06,12.92,2.33,17.01,7.84,15.37,16.11,16.65,5.4,8.27,-0.21,7.7,15.21,4.37,14.98
