Variable,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Mongar,Paro,Pemagatshel,Punakha,Samdrup Jongkhar,Samtse,Sarpang,Tashi Yangtse,Tashigang,Thimphu,Trongsa,Tsirang,Wangdue Phodrang,Zhemgang
precipitation - ssp3 - 2021-2040 - jun - sep,507.39,1862.1,1675.38,365.14,915.57,517.41,872.87,627.69,1722.83,713.59,1526.57,2602.58,2076.12,549.85,786.22,553.67,835.31,1661.83,758.93,1491.23
precipitation - ssp3 - 2041-2060 - jun - sep,538.46,1878.67,1694.11,405.05,934.72,546.85,888.74,652.85,1735.12,746.46,1537.23,2616.11,2094.81,574.36,799.63,582.97,859.3,1681.33,787.92,1507.16
precipitation - ssp3 - 2061-2080 - jun - sep,910.38,2840.17,2494.65,616.01,1507.48,961.95,1499.04,1041.84,2598.04,1172.84,2325.9,3776.36,2947.51,1033.11,1359.4,904.2,1389.38,2439.22,1241.93,2268.1
precipitation - ssp3 - 2081-2100 - jun - sep,751.4,2094.52,1908.56,627.19,1175.13,751.18,1088.66,896.84,1934.3,985.67,1726.67,2836.67,2302.49,771.41,987.09,822.97,1077.22,1893.98,1014.16,1711.91
precipitation - ssp5 - 2021-2040 - jun - sep,462.47,1839.92,1647.04,327.35,885.25,477.85,821.52,589.52,1679.17,688.15,1488.58,2592.43,2038.76,504.36,735.2,511.63,796.01,1630.27,724.09,1446.08
precipitation - ssp5 - 2041-2060 - jun - sep,582.55,1948.21,1759.15,442.07,986.04,595.72,924.22,688.49,1762.2,805.91,1555.66,2697.59,2148.13,612.1,815.84,615.26,919.02,1746.91,848.35,1548.79
precipitation - ssp5 - 2061-2080 - jun - sep,714.31,2069.19,1872.27,583.86,1140.17,720.39,1038.75,834.53,1852.22,957.94,1640.84,2838.44,2252.49,728.68,917.18,760.55,1057.9,1863.76,995.04,1654.72
precipitation - ssp5 - 2081-2100 - jun - sep,891.4,2300.6,2096.52,763.33,1363.3,889.57,1224.57,1030.8,2041.58,1147.82,1803.13,3087.88,2476.28,888.69,1072.95,950.4,1259.66,2092.1,1193.74,1862.87
precipitation - historical - mar - may,158.62,535.67,408.32,50.52,271.48,188.01,304.31,161,504.88,156.63,455.11,665.01,459.59,223.47,290.72,120.74,231.81,360.59,180.21,410.47
precipitation - ssp1 - 2021-2040 - mar - may,171.86,549.94,424.2,58.44,283.29,201.56,325.6,171.55,526.7,168.03,477.18,677.48,478.51,240.03,312.34,130.79,248.78,378.4,194.17,430.68
precipitation - ssp1 - 2041-2060 - mar - may,183.59,567.74,441.08,63.42,296.38,214.37,348.05,180.73,553.58,174.87,503.54,696.16,499.37,255.49,334.38,138.47,263.21,396.19,204.24,453.5
precipitation - ssp1 - 2061-2080 - mar - may,166.93,539.16,411.77,54.59,276.11,198.07,320.1,164.74,523.33,159.22,475.23,669.39,467.76,236.55,308.87,123.97,239.22,365.45,184.08,423.82
precipitation - ssp1 - 2081-2100 - mar - may,178.62,555.35,426.65,64.77,289.96,210.12,335.5,176.49,538.62,171.68,490.58,685.85,481.99,249.79,323.94,135.11,252.97,380.3,197.56,437.7
precipitation - ssp2 - 2021-2040 - mar - may,176.78,566.67,436.81,62.03,296.68,208.28,336.87,179.9,540.73,172.18,492.43,699.38,489.68,249.85,325.87,137.18,254.19,388.6,198.5,440.54
precipitation - ssp2 - 2041-2060 - mar - may,193.78,581.39,456.8,71.66,306.09,223.2,361.19,190.59,569.32,186.74,521.22,706.31,516.35,265.42,348.76,148.62,277.03,413.24,217.35,468.49
precipitation - ssp2 - 2061-2080 - mar - may,196.02,574.81,449.71,75.84,301.54,228.42,362.83,187.84,569.07,186.41,521.15,700.1,509.96,271.94,352.31,147.21,274.74,406.13,216.09,465.11
precipitation - ssp2 - 2081-2100 - mar - may,205.74,590.27,467.56,76.24,310.85,237.92,385.77,194.48,595.68,191.38,546.05,714.06,534.14,284.71,374.22,152.65,290.03,426.65,225.2,490.81
precipitation - ssp3 - 2021-2040 - mar - may,169.71,552.11,422.73,59.51,287.12,200.7,322.15,173.75,522.64,168.2,475.51,683.36,472.55,239.85,311.26,132.2,244.65,374.49,192.52,423.66
precipitation - ssp3 - 2041-2060 - mar - may,183.87,574.93,448.74,65.72,300.82,214.24,347.98,184.76,556.12,178.82,508.92,702.45,505.04,256.81,338.08,142.31,264.97,403.09,207.75,454.61
precipitation - ssp3 - 2061-2080 - mar - may,210.6,606.63,478.83,90.45,329.69,241.01,380.7,210.07,589.41,204.52,538.91,736.43,537.31,283.87,366.47,167.05,294.77,434.16,235.28,487.72
precipitation - ssp3 - 2081-2100 - mar - may,245.69,647.11,523.71,108.87,356.42,279.08,440.98,232.78,658.99,229.8,610.41,770.21,595.22,330.41,429.22,189.24,338,485.11,268.87,549
precipitation - ssp5 - 2021-2040 - mar - may,188.6,572.39,444.6,72.56,301.51,219.6,345.96,186.64,546.46,183.62,496.19,702.04,498.98,259.45,331.68,145.25,266.33,398.11,210.62,449.85
precipitation - ssp5 - 2041-2060 - mar - may,204.4,607.88,482.67,81.23,324.69,235.61,381.26,204.62,596.73,197.89,544.03,733.37,543.98,280.19,366.34,161.09,291.31,438.53,230.35,492.81
precipitation - ssp5 - 2061-2080 - mar - may,225.4,601.52,477.76,94.53,324.46,259.74,407.55,208.16,618.11,208.61,567.78,726.36,548.66,307.46,393.98,167.19,308.18,438.49,242.23,509.72
precipitation - ssp5 - 2081-2100 - mar - may,285.4,698.65,578.97,139.15,398.05,318.19,500.5,269.46,726.16,268.33,670.97,818.27,659.98,372.19,480.74,225.08,389.22,545.66,313.65,614.29
precipitation - historical - oct - nov,46.49,138.7,130.69,21.28,75.01,54.12,97.36,52.78,137.06,64.03,133.56,176.67,143.3,60.73,88.97,41.24,78.15,133.1,63.44,123.14
precipitation - ssp1 - 2021-2040 - oct - nov,50.89,143.15,133.72,26.2,79.73,58.7,100.29,57.17,138.16,68.61,133.4,182.51,145.07,64.5,90.23,45.56,81.85,135.62,67.66,124.91
precipitation - ssp1 - 2041-2060 - oct - nov,63.13,161.27,152.5,34.1,93.1,69.82,118.41,68.4,158.86,79.49,152.28,199.78,166.57,76.25,106.69,56.13,98.04,155.32,80.86,146.09
precipitation - ssp1 - 2061-2080 - oct - nov,58.1,160.47,149.69,34.23,94.82,63.85,107.16,68.86,147.27,78.69,139.93,202.16,159.73,68,94.27,56.02,92.19,150.65,78.29,136.58
precipitation - ssp1 - 2081-2100 - oct - nov,61.62,169.13,157.58,35.51,100.51,68.29,117.62,72.84,160.3,80.91,152.99,211.36,169.58,74.54,105.21,59.23,97.49,158.69,81.59,147.12
precipitation - ssp2 - 2021-2040 - oct - nov,55.16,152.02,142.85,29.09,85.18,62.63,107.61,61.31,148.67,72.41,142.87,190.67,155.65,68.71,96.64,49.37,87.91,144.87,72.55,134.72
precipitation - ssp2 - 2041-2060 - oct - nov,53.72,157.3,147.71,28.83,89.11,60.52,105.03,63.61,144.96,73.28,136.82,196.92,158.05,66.57,93.11,51.01,87.98,148.84,73.61,134.05
precipitation - ssp2 - 2061-2080 - oct - nov,65.21,164.03,154.89,38.89,97.09,71.41,118.73,72.35,157.59,83.75,148.85,203.22,167.81,77.14,105.28,60.22,100.5,157.66,84.58,146.56
precipitation - ssp2 - 2081-2100 - oct - nov,59.52,160.45,148.98,36.49,94.83,66.31,110.8,68.31,150.39,78.59,142.67,203.61,159.74,71.34,98.17,55.92,92.33,150.02,78.12,138.06
precipitation - ssp3 - 2021-2040 - oct - nov,45.22,137.62,129.45,21.75,72.47,52.77,95.98,50.9,138.5,62.49,133.48,175.2,143.24,58.19,86.03,39.84,75.73,131.52,61.28,123.37
precipitation - ssp3 - 2041-2060 - oct - nov,53.76,153.23,142.87,29.44,87.47,60.21,102.45,62.42,140.74,72.52,132.12,194.29,153.18,64.28,88.68,50.11,86.57,143.85,72.23,130.5
precipitation - ssp3 - 2061-2080 - oct - nov,77.82,187.42,176.2,49.36,114.29,84.28,135.64,85.69,176.1,96.04,165.17,228.86,188.49,90.66,120.24,72.65,115.66,177.91,98.47,164.9
precipitation - ssp3 - 2081-2100 - oct - nov,77.06,187.63,175.02,51.15,118.32,82.5,132.55,88.87,173.41,98.43,163.56,231.43,185.29,87.58,117.33,75.25,114.94,176.3,99.75,161.97
precipitation - ssp5 - 2021-2040 - oct - nov,42.58,144.36,133.48,22.86,79.92,49.07,89.95,55.39,131.53,64.04,125.62,185.17,142.78,53.34,78.96,42.97,74.25,133.73,62.08,119.46
precipitation - ssp5 - 2041-2060 - oct - nov,55.72,159.38,148.54,32.98,92.53,62.02,105.67,67.21,146.84,76.49,140.14,199.86,158.83,66.8,93.77,54.58,89.38,149.33,75.7,135.4
precipitation - ssp5 - 2061-2080 - oct - nov,73.82,182.73,171.54,48.84,111.61,79.2,127.67,82.85,169.23,93.68,159.17,225.07,183.49,83.44,112.4,70.14,110.91,173.3,95.43,159.46
precipitation - ssp5 - 2081-2100 - oct - nov,106.28,222.43,208.77,76.92,149.94,111.07,168.7,116.74,208.69,126.82,197.22,269.04,221.58,118.09,152.21,102.46,149.11,211.44,130.63,198.49
precipitation - historical - dec - feb,19.48,70.66,56.82,10.55,45.25,24.7,41.99,28.93,60.73,37.8,55.78,78.99,57.23,28.96,40.13,21.31,36.03,58.37,32.89,53.7
precipitation - ssp1 - 2021-2040 - dec - feb,17.78,63.64,50.29,9.29,38.49,23.38,37.73,24.01,54.66,34.96,50.26,71.23,50.69,27.52,36.85,17.48,32.23,51.89,29.49,47.84
precipitation - ssp1 - 2041-2060 - dec - feb,19.27,68.35,54.72,10.07,42.92,24.76,41.38,27.15,59.62,36.61,55.1,76.39,55.29,29.11,39.95,19.87,34.95,56.29,31.66,52.19
precipitation - ssp1 - 2061-2080 - dec - feb,18.53,67.22,53.71,9.78,42.05,24.12,40.74,26.46,59.73,35.99,55.78,75.38,54.69,28.6,39.93,19.27,34.01,55.4,30.86,51.79
precipitation - ssp1 - 2081-2100 - dec - feb,19.28,69.2,55.61,9.89,43.34,24.7,41.42,27.43,59.88,36.89,55.28,77.09,56.09,29.03,39.91,20.07,35.28,57.21,32.06,52.73
precipitation - ssp2 - 2021-2040 - dec - feb,18.45,66.52,52.77,9.61,41.12,24.02,39.52,25.57,57.06,35.62,52.62,74.71,53.18,28.3,38.42,18.58,33.59,54.26,30.51,50.1
precipitation - ssp2 - 2041-2060 - dec - feb,18.43,67,53.28,9.75,41.67,24.02,39.85,26.21,58.05,35.95,53.6,75.02,53.69,28.32,38.72,19.07,33.63,54.73,30.74,50.62
precipitation - ssp2 - 2061-2080 - dec - feb,18.06,66.03,52.28,9.54,40.46,23.66,38.93,25.33,56.83,35.28,52.61,73.85,52.74,27.95,38.11,18.39,32.91,53.69,29.97,49.61
precipitation - ssp2 - 2081-2100 - dec - feb,18.52,65.51,52.05,9.78,39.85,24.12,39.05,25.09,56.25,35.69,51.95,73.05,52.39,28.36,38.11,18.44,33.34,53.61,30.41,49.38
precipitation - ssp3 - 2021-2040 - dec - feb,19.07,69.01,55.08,10.47,44.57,24.39,40.45,28.51,58.31,37.39,54.08,77.71,55.07,28.67,39.28,20.93,34.99,56.45,32.12,51.56
precipitation - ssp3 - 2041-2060 - dec - feb,18.31,66.75,53.05,9.53,40.93,23.9,39.38,25.56,57.47,35.59,53.16,74.7,53.48,28.22,38.48,18.58,33.39,54.45,30.42,50.21
