Variable,Arkhangai,Dornogovi,Bayan-Ölgii,Bayankhongor,Dundgovi,Khentii,Darkhan-Uul,Dornod,Bulgan,Govi-Altai,Ömnögovi,Övörkhangai,Govisümber,Töv,Khovd,Khövsgöl,Selenge,Orkhon,Ulaanbaatar,Sükhbaatar,Uvs,Zavkhan
solar radiation - ssp3 - 2061-2080 - jun - aug,19212.52396,22139.60999,20686.06148,21141.96852,20907.89778,20219.60967,19132.7223,20758.10849,19086.37191,21503.20229,22204.26426,20548.35803,20566.23669,19607.04813,21327.43055,18351.79122,19005.73862,19002.61346,19314.30003,21340.03346,20158.52031,19438.28017
solar radiation - ssp3 - 2081-2100 - jun - aug,19213.7831,22138.87679,20687.13417,21141.48656,20907.60739,20220.63515,19133.45549,20759.21538,19087.12701,21502.81653,22202.85839,20548.56026,20566.21121,19607.7496,21328.12985,18353.34533,19006.4911,19003.1622,19315.29926,21340.80884,20159.29109,19439.03377
solar radiation - ssp3 - 2021-2040 - mar - may,17856.48857,19615.9072,17517.94254,19172.99428,19114.81095,18258.95184,17442.0464,18397.49236,17497.91721,19180.53966,20088.12787,18865.65439,18640.08802,18044.84267,18388.37091,16921.29116,17359.36332,17436.06787,17850.24737,19007.61451,17704.75951,17945.13197
solar radiation - ssp3 - 2041-2060 - mar - may,17855.03137,19614.89337,17516.37526,19172.1383,19113.79933,18257.81284,17440.98099,18395.92087,17496.41729,19179.38638,20087.48694,18864.70873,18639.23516,18043.64658,18386.7804,16919.54048,17358.19597,17434.7001,17849.11503,19006.29956,17703.09232,17943.52391
solar radiation - ssp3 - 2061-2080 - mar - may,17853.40991,19613.43752,17514.20347,19170.62421,19112.38276,18255.48319,17438.66877,18393.32632,17494.89319,19177.69753,20086.2054,18863.16818,18637.52853,18041.82983,18385.11343,16917.44565,17355.98581,17433.12954,17847.1578,19004.16043,17701.30518,17941.81022
solar radiation - ssp3 - 2081-2100 - mar - may,17852.13701,19612.7424,17513.03199,19169.78593,19111.64674,18254.5368,17437.97858,18392.13493,17493.73092,19176.93495,20085.60544,18862.31958,18636.6826,18040.72209,18384.24622,16915.73984,17355.18982,17431.98626,17846.09487,19003.02536,17700.03173,17940.46844
solar radiation - ssp5 - 2021-2040 - annual,13690.54907,15803.24807,13600.61337,15277.21562,15071.12501,14123.10041,13188.68938,14300.13572,13264.03846,15355.55407,16308.9707,14763.06651,14607.03132,13921.92245,14504.39233,12632.21783,13088.46411,13188.59864,13725.33753,15026.99089,13416.76405,13751.51915
solar radiation - ssp5 - 2041-2060 - annual,13690.23421,15802.70978,13599.9296,15276.7536,15070.77924,14122.64732,13188.29531,14299.60966,13263.56461,15354.87219,16308.67406,14762.7307,14606.5466,13921.43809,14503.59663,12631.69072,13088.07099,13188.05948,13724.8763,15026.4081,13416.04591,13750.97897
solar radiation - ssp5 - 2061-2080 - annual,13689.35519,15801.98285,13599.04775,15275.75332,15070.00334,14122.21652,13187.42748,14298.95616,13262.61259,15353.77861,16307.67553,14761.91681,14605.94226,13920.78156,14502.53545,12630.65609,13087.17674,13187.09694,13724.30389,15025.85444,13415.02732,13749.9321
solar radiation - ssp5 - 2081-2100 - annual,13688.35399,15800.56937,13598.0631,15274.59706,15068.58059,14120.97695,13186.52554,14297.59847,13261.75181,15352.86653,16306.46234,14760.54013,14604.56296,13919.58735,14501.78737,12629.79446,13086.30104,13186.2182,13723.17012,15024.36923,13414.24487,13749.1751
solar radiation - ssp5 - 2021-2040 - jun - aug,19212.71029,22142.99029,20686.91113,21143.45996,20910.58019,20220.7911,19133.44825,20760.7125,19087.49831,21505.15063,22207.15357,20550.35128,20568.39642,19608.22091,21329.14598,18351.97118,19006.45511,19004.09335,19315.11115,21342.95511,20159.83411,19438.58302
solar radiation - ssp5 - 2041-2060 - jun - aug,19214.12184,22143.06206,20687.70271,21143.92651,20911.1424,20221.46151,19134.29025,20761.23089,19088.35818,21505.00861,22207.16145,20551.07594,20568.68937,19608.9596,21329.12181,18353.19664,19007.34812,19004.65659,19315.99542,21343.29939,20160.18101,19439.40755
solar radiation - ssp5 - 2061-2080 - jun - aug,19214.71273,22142.34019,20688.32359,21143.35388,20910.65904,20222.41341,19134.93747,20761.25815,19088.55117,21504.32315,22206.13175,20550.90931,20568.77612,19609.65613,21328.90125,18354.1653,19007.95052,19004.7738,19317.09873,21343.10598,20160.2025,19439.61785
solar radiation - ssp5 - 2081-2100 - jun - aug,19215.03365,22140.8023,20688.67343,21142.35226,20909.02893,20221.8865,19134.6695,20760.59734,19088.58398,21503.72633,22204.28092,20549.52182,20567.6164,19609.16066,21329.10706,18355.07322,19007.815,19004.5897,19316.84346,21342.11293,20160.4549,19440.33935
solar radiation - ssp5 - 2021-2040 - mar - may,17857.09583,19617.36475,17518.5099,19173.52416,19115.71624,18260.19929,17443.64851,18398.47044,17499.09328,19181.01617,20088.71201,18866.31618,18641.41192,18046.21982,18388.96833,16922.01631,17360.91815,17437.51478,17851.77081,19009.00659,17705.30992,17945.77743
solar radiation - ssp5 - 2041-2060 - mar - may,17855.68386,19616.26507,17517.08042,19172.59712,19114.78645,18258.73802,17442.15904,18396.90773,17497.4848,19180.07569,20088.48376,18865.396,18640.07766,18044.60254,18387.68129,16920.24526,17359.38835,17435.91831,17850.03677,19007.42852,17703.80681,17944.22656
solar radiation - ssp5 - 2061-2080 - mar - may,17853.52513,19615.41941,17514.33522,19170.89958,19113.61689,18257.35671,17440.08898,18395.60532,17495.39992,19177.86738,20087.23377,18863.93841,18638.9575,18042.96357,18385.14176,16917.27424,17357.24738,17433.90516,17848.42116,19006.39389,17701.36925,17941.61676
solar radiation - ssp5 - 2081-2100 - mar - may,17851.45972,19613.9721,17512.10501,19169.62181,19111.94178,18255.34148,17438.52397,18393.33492,17493.81198,19176.80382,20086.62718,18862.22166,18637.02519,18040.87484,18383.80505,16915.20872,17355.69424,17432.32378,17846.37582,19004.27312,17699.69975,17939.8998
